surah_number,ayah_number,ayah_content,latin_inalco,Tifinagh
1,1,"S yisem n Öebbi, Aênin Ipêunun,","S yisem n Ṛebbi, Aḥnin Itḥunun,","ⵙ ⵢⵉⵙⵎ ⵏ ⵕⴱⴱⵉ, ⴰⵃⵏⵉⵏ ⵉⵜⵃⵓⵏⵓⵏ,"
1,2,"Ccekôan i Öebbi, Mass imavalen,","Ccekṛan i Ṛebbi, Mass imaḍalen,","ⵛⵛⴽⵕⴰⵏ ⵉ ⵕⴱⴱⵉ, ⵎⴰⵙⵙ ⵉⵎⴰⴹⴰⵍⵏ,"
1,3,"Aênin Ipêunun,","Aḥnin Itḥunun,","ⴰⵃⵏⵉⵏ ⵉⵜⵃⵓⵏⵓⵏ,"
1,4,Agellid n wass iqeîîiyen.,Agellid n wass iqeṭṭiyen.,ⴰⴳⵍⵍⵉⴷ ⵏ ⵡⴰⵙⵙ ⵉⵇⵟⵟⵉⵢⵏ.
1,5,"D Keçç ay naâbed, d Keçç ay nepper d Amâiwen;","D Kečč ay naɛbed, d Kečč ay netter d Amɛiwen;","ⴷ ⴽⵜⵜⵛ ⴰⵢ ⵏⴰⵄⴱⴷ, ⴷ ⴽⵜⵜⵛ ⴰⵢ ⵏⵜⵜⵔ ⴷ ⴰⵎⵄⵉⵡⵏ;"
1,6,"Awi ya$ d ubrid iweqmen,","Awi yaɣ d ubrid iweqmen,","ⴰⵡⵉ ⵢⴰⵖ ⴷ ⵓⴱⵔⵉⴷ ⵉⵡⵇⵎⵏ,"
1,7,"Abrid n wid i T$atev; ur n wid i K isserfayen, ne$ n im$eôôqen.","Abrid n wid i Tɣateḍ; ur n wid i K isserfayen, neɣ n imɣeṛṛqen.","ⴰⴱⵔⵉⴷ ⵏ ⵡⵉⴷ ⵉ ⵜⵖⴰⵜⴹ; ⵓⵔ ⵏ ⵡⵉⴷ ⵉ ⴽ ⵉⵙⵙⵔⴼⴰⵢⵏ, ⵏⵖ ⵏ ⵉⵎⵖⵕⵕⵇⵏ."
2,1,Alm.,Alm.,ⴰⵍⵎ.
2,2,"Appan Tezmamt, ur degs ccekk, d nnhaya i wid ipêezziben;","Attan Tezmamt, ur degs ccekk, d nnhaya i wid itḥezziben;","ⴰⵜⵜⴰⵏ ⵜⵣⵎⴰⵎⵜ, ⵓⵔ ⴷⴳⵙ ⵛⵛⴽⴽ, ⴷ ⵏⵏⵀⴰⵢⴰ ⵉ ⵡⵉⴷ ⵉⵜⵃⵣⵣⵉⴱⵏ;"
2,3,"wid iumnen s tbavnit, ipéallan, ipseddiqen seg wayen iten N$at;","wid iumnen s tbaḍnit, itẓallan, itseddiqen seg wayen iten Nɣat;","ⵡⵉⴷ ⵉⵓⵎⵏⵏ ⵙ ⵜⴱⴰⴹⵏⵉⵜ, ⵉⵜⵥⴰⵍⵍⴰⵏ, ⵉⵜⵙⴷⴷⵉⵇⵏ ⵙⴳ ⵡⴰⵢⵏ ⵉⵜⵏ ⵏⵖⴰⵜ;"
2,4,"wid iumnen s wayen i k d irsen, akked wayen id irsen, uqbel ik, u, $ef laxeôt, nitni, pputebbten.","wid iumnen s wayen i k d irsen, akked wayen id irsen, uqbel ik, u, ɣef laxeṛt, nitni, ttutebbten.","ⵡⵉⴷ ⵉⵓⵎⵏⵏ ⵙ ⵡⴰⵢⵏ ⵉ ⴽ ⴷ ⵉⵔⵙⵏ, ⴰⴽⴽⴷ ⵡⴰⵢⵏ ⵉⴷ ⵉⵔⵙⵏ, ⵓⵇⴱⵍ ⵉⴽ, ⵓ, ⵖⴼ ⵍⴰⵅⵕⵜ, ⵏⵉⵜⵏⵉ, ⵜⵜⵓⵜⴱⴱⵜⵏ."
2,5,"Widak, di nnhaya n Mass nnsen, widak, d isaâdiyen.","Widak, di nnhaya n Mass nnsen, widak, d isaɛdiyen.","ⵡⵉⴷⴰⴽ, ⴷⵉ ⵏⵏⵀⴰⵢⴰ ⵏ ⵎⴰⵙⵙ ⵏⵏⵙⵏ, ⵡⵉⴷⴰⴽ, ⴷ ⵉⵙⴰⵄⴷⵉⵢⵏ."
2,6,"Wid ijehlen, s tidep, iâuva fellasen ma tnubav ten, ne$ ur ten tnubav. Ur ppamnen.","Wid ijehlen, s tidet, iɛuḍa fellasen ma tnubaḍ ten, neɣ ur ten tnubaḍ. Ur ttamnen.","ⵡⵉⴷ ⵉⵊⵀⵍⵏ, ⵙ ⵜⵉⴷⵜ, ⵉⵄⵓⴹⴰ ⴼⵍⵍⴰⵙⵏ ⵎⴰ ⵜⵏⵓⴱⴰⴹ ⵜⵏ, ⵏⵖ ⵓⵔ ⵜⵏ ⵜⵏⵓⴱⴰⴹ. ⵓⵔ ⵜⵜⴰⵎⵏⵏ."
2,7,"Isle$ Öebbi ulawen nnsen, akked imeééu$en nnsen. Irs le$yaô $ef allen nnsen. Fellasen aâaqeb abarar.","Isleɣ Ṛebbi ulawen nnsen, akked imeẓẓuɣen nnsen. Irs leɣyaṛ ɣef allen nnsen. Fellasen aɛaqeb abarar.","ⵉⵙⵍⵖ ⵕⴱⴱⵉ ⵓⵍⴰⵡⵏ ⵏⵏⵙⵏ, ⴰⴽⴽⴷ ⵉⵎⵥⵥⵓⵖⵏ ⵏⵏⵙⵏ. ⵉⵔⵙ ⵍⵖⵢⴰⵕ ⵖⴼ ⴰⵍⵍⵏ ⵏⵏⵙⵏ. ⴼⵍⵍⴰⵙⵏ ⴰⵄⴰⵇⴱ ⴰⴱⴰⵔⴰⵔ."
2,8,"Ger yimdanen, llan wid iqqaôen: ""numen s Öebbi akked wass aneggaru”; nitni, ur llin d lmumnin.","Ger yimdanen, llan wid iqqaṛen: ""numen s Ṛebbi akked wass aneggaru”; nitni, ur llin d lmumnin.","ⴳⵔ ⵢⵉⵎⴷⴰⵏⵏ, ⵍⵍⴰⵏ ⵡⵉⴷ ⵉⵇⵇⴰⵕⵏ: ""ⵏⵓⵎⵏ ⵙ ⵕⴱⴱⵉ ⴰⴽⴽⴷ ⵡⴰⵙⵙ ⴰⵏⴳⴳⴰⵔⵓ”; ⵏⵉⵜⵏⵉ, ⵓⵔ ⵍⵍⵉⵏ ⴷ ⵍⵎⵓⵎⵏⵉⵏ."
2,9,"La xedâen Öebbi akked wid iumnen. Ur xedâen siwa iman nnsen, ur faqen.","La xedɛen Ṛebbi akked wid iumnen. Ur xedɛen siwa iman nnsen, ur faqen.","ⵍⴰ ⵅⴷⵄⵏ ⵕⴱⴱⵉ ⴰⴽⴽⴷ ⵡⵉⴷ ⵉⵓⵎⵏⵏ. ⵓⵔ ⵅⴷⵄⵏ ⵙⵉⵡⴰ ⵉⵎⴰⵏ ⵏⵏⵙⵏ, ⵓⵔ ⴼⴰⵇⵏ."
2,10,"Aîan deg ulawen nnsen; Irna yasen Öebbi aîan. Fellasen aâaqeb aqeôêan, ilmend n wayen skiddiben.","Aṭan deg ulawen nnsen; Irna yasen Ṛebbi aṭan. Fellasen aɛaqeb aqeṛḥan, ilmend n wayen skiddiben.","ⴰⵟⴰⵏ ⴷⴳ ⵓⵍⴰⵡⵏ ⵏⵏⵙⵏ; ⵉⵔⵏⴰ ⵢⴰⵙⵏ ⵕⴱⴱⵉ ⴰⵟⴰⵏ. ⴼⵍⵍⴰⵙⵏ ⴰⵄⴰⵇⴱ ⴰⵇⵕⵃⴰⵏ, ⵉⵍⵎⵏⴷ ⵏ ⵡⴰⵢⵏ ⵙⴽⵉⴷⴷⵉⴱⵏ."
2,11,"Ma nnan asen: ""ur ssefsadet di tmurt""! A d inin: ""nekwni d wid, kan, ipleqqimen"".","Ma nnan asen: ""ur ssefsadet di tmurt""! A d inin: ""nekwni d wid, kan, itleqqimen"".","ⵎⴰ ⵏⵏⴰⵏ ⴰⵙⵏ: ""ⵓⵔ ⵙⵙⴼⵙⴰⴷⵜ ⴷⵉ ⵜⵎⵓⵔⵜ""! ⴰ ⴷ ⵉⵏⵉⵏ: ""ⵏⴽⵡⵏⵉ ⴷ ⵡⵉⴷ, ⴽⴰⵏ, ⵉⵜⵍⵇⵇⵉⵎⵏ""."
2,12,"Day maççi d nitni, s tidep, ay d ifessaden, maca ur faqen?","Day mačči d nitni, s tidet, ay d ifessaden, maca ur faqen?","ⴷⴰⵢ ⵎⴰⵜⵜⵛⵉ ⴷ ⵏⵉⵜⵏⵉ, ⵙ ⵜⵉⴷⵜ, ⴰⵢ ⴷ ⵉⴼⵙⵙⴰⴷⵏ, ⵎⴰⵛⴰ ⵓⵔ ⴼⴰⵇⵏ?"
2,13,"Ma nnan asen: ""amnet, akken umnen medden""! A d inin: ""day a namen, akken umnen ije$lufen""? Day maççi d nitni, s tidep, ay d ije$lufen, maca ur éôin.","Ma nnan asen: ""amnet, akken umnen medden""! A d inin: ""day a namen, akken umnen ijeɣlufen""? Day mačči d nitni, s tidet, ay d ijeɣlufen, maca ur ẓṛin.","ⵎⴰ ⵏⵏⴰⵏ ⴰⵙⵏ: ""ⴰⵎⵏⵜ, ⴰⴽⴽⵏ ⵓⵎⵏⵏ ⵎⴷⴷⵏ""! ⴰ ⴷ ⵉⵏⵉⵏ: ""ⴷⴰⵢ ⴰ ⵏⴰⵎⵏ, ⴰⴽⴽⵏ ⵓⵎⵏⵏ ⵉⵊⵖⵍⵓⴼⵏ""? ⴷⴰⵢ ⵎⴰⵜⵜⵛⵉ ⴷ ⵏⵉⵜⵏⵉ, ⵙ ⵜⵉⴷⵜ, ⴰⵢ ⴷ ⵉⵊⵖⵍⵓⴼⵏ, ⵎⴰⵛⴰ ⵓⵔ ⵥⵕⵉⵏ."
2,14,"Ma mmugren d wid iumnen, ad inin: ""numen"". Mara yilin weêêedsen, ar ccwaîen nnsen, ad inin: ""nekwni yidwen! Nekwni la nettihi kan"".","Ma mmugren d wid iumnen, ad inin: ""numen"". Mara yilin weḥḥedsen, ar ccwaṭen nnsen, ad inin: ""nekwni yidwen! Nekwni la nettihi kan"".","ⵎⴰ ⵎⵎⵓⴳⵔⵏ ⴷ ⵡⵉⴷ ⵉⵓⵎⵏⵏ, ⴰⴷ ⵉⵏⵉⵏ: ""ⵏⵓⵎⵏ"". ⵎⴰⵔⴰ ⵢⵉⵍⵉⵏ ⵡⵃⵃⴷⵙⵏ, ⴰⵔ ⵛⵛⵡⴰⵟⵏ ⵏⵏⵙⵏ, ⴰⴷ ⵉⵏⵉⵏ: ""ⵏⴽⵡⵏⵉ ⵢⵉⴷⵡⵏ! ⵏⴽⵡⵏⵉ ⵍⴰ ⵏⵜⵜⵉⵀⵉ ⴽⴰⵏ""."
2,15,Öebbi ad Ittihi fellasen. Isnerna yasen lbwe$v nnsen; ddebdeben.,Ṛebbi ad Ittihi fellasen. Isnerna yasen lbweɣḍ nnsen; ddebdeben.,ⵕⴱⴱⵉ ⴰⴷ ⵉⵜⵜⵉⵀⵉ ⴼⵍⵍⴰⵙⵏ. ⵉⵙⵏⵔⵏⴰ ⵢⴰⵙⵏ ⵍⴱⵡⵖⴹ ⵏⵏⵙⵏ; ⴷⴷⴱⴷⴱⵏ.
2,16,"Widak, d wid iu$en ttelfan s nnhaya; ur d issasay ssuq nnsen, ur pwanhan.","Widak, d wid iuɣen ttelfan s nnhaya; ur d issasay ssuq nnsen, ur twanhan.","ⵡⵉⴷⴰⴽ, ⴷ ⵡⵉⴷ ⵉⵓⵖⵏ ⵜⵜⵍⴼⴰⵏ ⵙ ⵏⵏⵀⴰⵢⴰ; ⵓⵔ ⴷ ⵉⵙⵙⴰⵙⴰⵢ ⵙⵙⵓⵇ ⵏⵏⵙⵏ, ⵓⵔ ⵜⵡⴰⵏⵀⴰⵏ."
2,17,"Tevôa yidsen am win issa$en times. Mi tnewweô ayen i s d izzin, Öebbi Iddem tafat nnsen, Iooa ten di tillas, ur pwalin.","Teḍṛa yidsen am win issaɣen times. Mi tnewweṛ ayen i s d izzin, Ṛebbi Iddem tafat nnsen, Iǧǧa ten di tillas, ur twalin.","ⵜⴹⵕⴰ ⵢⵉⴷⵙⵏ ⴰⵎ ⵡⵉⵏ ⵉⵙⵙⴰⵖⵏ ⵜⵉⵎⵙ. ⵎⵉ ⵜⵏⵡⵡⵕ ⴰⵢⵏ ⵉ ⵙ ⴷ ⵉⵣⵣⵉⵏ, ⵕⴱⴱⵉ ⵉⴷⴷⵎ ⵜⴰⴼⴰⵜ ⵏⵏⵙⵏ, ⵉⴷⴷⵊⴰ ⵜⵏ ⴷⵉ ⵜⵉⵍⵍⴰⵙ, ⵓⵔ ⵜⵡⴰⵍⵉⵏ."
2,18,"Âaégen, gugmen, dre$len; ihi, nitni ur d ppu$alen s abrid.","Ɛaẓgen, gugmen, dreɣlen; ihi, nitni ur d ttuɣalen s abrid.","ⵄⴰⵥⴳⵏ, ⴳⵓⴳⵎⵏ, ⴷⵔⵖⵍⵏ; ⵉⵀⵉ, ⵏⵉⵜⵏⵉ ⵓⵔ ⴷ ⵜⵜⵓⵖⴰⵍⵏ ⵙ ⴰⴱⵔⵉⴷ."
2,19,"Ne$ am usigna igenni, degs tillas, tirmegt, lebôaq. Pparran ivudan nnsen deg imeééu$en nnsen, mgal ssiâqat; ad nnestaôen si tmeppant. Öebbi Izzi i ijehliyen.","Neɣ am usigna igenni, degs tillas, tirmegt, lebṛaq. Ptarran iḍudan nnsen deg imeẓẓuɣen nnsen, mgal ssiɛqat; ad nnestaṛen si tmettant. Ṛebbi Izzi i ijehliyen.","ⵏⵖ ⴰⵎ ⵓⵙⵉⴳⵏⴰ ⵉⴳⵏⵏⵉ, ⴷⴳⵙ ⵜⵉⵍⵍⴰⵙ, ⵜⵉⵔⵎⴳⵜ, ⵍⴱⵕⴰⵇ. Pⵜⴰⵔⵔⴰⵏ ⵉⴹⵓⴷⴰⵏ ⵏⵏⵙⵏ ⴷⴳ ⵉⵎⵥⵥⵓⵖⵏ ⵏⵏⵙⵏ, ⵎⴳⴰⵍ ⵙⵙⵉⵄⵇⴰⵜ; ⴰⴷ ⵏⵏⵙⵜⴰⵕⵏ ⵙⵉ ⵜⵎⵜⵜⴰⵏⵜ. ⵕⴱⴱⵉ ⵉⵣⵣⵉ ⵉ ⵉⵊⵀⵍⵉⵢⵏ."
