surah_number,ayah_number,transliteration_converted
1,1,Bismi Allahi ar-raḥmani ar-raḥim.
1,2,Al-ḥamdu Lillahi rabbi al-ɛalamin.
1,3,Ar-raḥmani ar-raḥim.
1,4,Maliki yawmi ad-din.
1,5,ʼiyaka naɛbudu wa ʼiyaka nastaɛin.
1,6,Ahdina aṣ-ṣiraṭa al-mustaqim.
1,7,Ṣiraṭa al-laḏina ʼanɛamta ɛalayhim ɣayri al-maɣḍubi ɛalayhim wa la aḍ-ḍallin.
2,1,ʼalif-lam-mim.
2,2,Ḏalika al-kitabu la rayba fihi hudan lilmuttaqin.
2,3,Al-laḏina yuʼminuna bil-ɣaybi wa yuqimuna aṣ-ṣalata wa mimma razaqnahum yunfiqun.
2,4,Wa al-laḏina yuʼminuna bima ʼunzila ʼilayka wa ma ʼunzila min qablika wa bil-ʼaxirati hum yuqinun.
2,5,ʼulaʼika ɛala hudan min rabbihim wa ʼulaʼika hum al-mufliḥun.
2,6,ʼinna al-laḏina kafaru sawaʼun ɛalayhim ʼa ʼanḏartahum ʼam lam tunḏirhum la yuʼminun.
2,7,Xatama Allahu ɛala qulubihim wa ɛala samɛihim wa ɛala ʼabṣarihim ɣicawatun wa lahum ɛaḏabun ɛaḏ̣imun.
2,8,Wa mina an-nasi man yaqulu ʼamanna Billahi wa bil-yawmi al-ʼaxiri wa ma hum bimuʼminin.
2,9,Yuxadiɛuna Allaha wa al-laḏina ʼamanu wa ma yaxdaɛuna ʼilla ʼanfusahum wa ma yacɛurun.
2,10,Fi qulubihim maraḍun fazadahum Allahu maraḍan wa lahum ɛaḏabun ʼalimun bima kanu yakḏibun.
2,11,Wa ʼiḏa qila lahum la tufsidu fi al-ʼarḍi qalu ʼinnama naḥnu muṣliḥun.
2,12,ʼala ʼinnahum hum al-mufsiduna wa lakin la yacɛurun.
2,13,Wa ʼiḏa qila lahum ʼaminu kama ʼamana an-nasu qalu ʼanuʼminu kama ʼamana as-sufahaʼu ʼala ʼinnahum hum as-sufahaʼu wa lakin la yaɛlamun.
2,14,Wa ʼiḏa laqu al-laḏina ʼamanu qalu ʼamanna wa ʼiḏa xalaw ʼila cayaṭinihim qalu ʼinna maɛakum ʼinnama naḥnu mustahziʼun.
2,15,Allahu yastahziʼu bihim wa yamudduhum fi ṭuɣyanihim yaɛmahun.
2,16,ʼulaʼika al-laḏina actaraw aḍ-ḍalalata bil-huda fama rabiḥat tijaratuhum wa ma kanu muhtadin.
2,17,Maṯaluhum kamaṯali al-laḏi astawqada naran falamma ʼaḍaʼat ma ḥawlahu ḏahaba Allahu binurihim wa tarakahum fi ḏ̣ulumatin la yubṣirun.
2,18,Ṣummun bukmun ɛumyun fahum la yarjiɛun.
2,19,ʼaw kaṣayyibin mina as-samaʼi fihi ḏ̣ulumatun wa raɛdun wa barqun yajɛaluna ʼaṣabiɛahum fi ʼaḏanihim mina aṣ-ṣawaɛiqi ḥaḏara al-mawti wa Allahu muḥiṭun bil-kafirin.
2,20,Yakadu al-barqu yaxṭafu ʼabṣarahum kullama ʼaḍaʼa lahum macaw fihi wa ʼiḏa ʼaḏ̣lama ɛalayhim qamu wa law caʼa Allahu laḏahaba bisamɛihim wa ʼabṣarihim ʼinna Allaha ɛala kulli cayʼin qadirun.
2,21,Ya ʼayyuha an-nasu aɛbudu rabbakum al-laḏi xalaqakum wa al-laḏina min qablikum laɛallakum tattaqun.
2,22,Al-laḏi jaɛala lakum al-ʼarḍa firacan wa as-samaʼa binaʼan wa ʼanzala mina as-samaʼi maʼan faʼaxraja bihi mina aṯ-ṯamarati rizqan lakum fala tajɛalu Lillahi ʼandadan wa ʼantum taɛlamun.
2,23,Wa ʼin kuntum fi raybin mimma nazzalna ɛala ɛabdina faʼtu bisuratin min miṯlihi wa adɛu cuhadaʼakum min duni Allahi ʼin kuntum ṣadiqin.
2,24,Faʼin lam tafɛalu wa lan tafɛalu fa attaqu an-nara allati waquduha an-nasu wa al-ḥijaratu ʼuɛiddat lilkafirin.
2,25,Wa baccir al-laḏina ʼamanu wa ɛamilu aṣ-ṣaliḥati ʼanna lahum jannatin tajri min taḥtiha al-ʼanharu kullama ruziqu minha min ṯamaratin rizqan qalu haḏa al-laḏi ruziqna min qablu wa ʼutu bihi mutacabihan wa lahum fiha ʼazwajun muṭahharatun wa hum fiha xalidun.
2,26,ʼinna Allaha la yastaḥyi ʼan yaḍriba maṯalan ma baɛuḍatan fama fawqaha faʼamma al-laḏina ʼamanu fayaɛlamuna ʼannahu al-ḥaqqu min rabbihim wa ʼamma al-laḏina kafaru fayaquluna maḏa ʼarada Allahu bihaḏa maṯalan yuḍillu bihi kaṯiran wa yahdi bihi kaṯiran wa ma yuḍillu bihi ʼilla al-fasiqin.
2,27,Al-laḏina yanquḍuna ɛahda Allahi min baɛdi miṯaqihi wa yaqṭaɛuna ma ʼamara Allahu bihi ʼan yuṣala wa yufsiduna fi al-ʼarḍi ʼulaʼika hum al-xasirun.
2,28,Kayfa takfuruna Billahi wa kuntum ʼamwatan faʼaḥyakum ṯumma yumitukum ṯumma yuḥyikum ṯumma ʼilayhi turjaɛun.
2,29,Huwa al-laḏi xalaqa lakum ma fi al-ʼarḍi jamiɛan ṯumma astawa ʼila as-samaʼi fasawwahunna sabɛa samawatin wa huwa bikulli cayʼin ɛalimun.
2,30,Wa ʼiḏ qala rabbuka lilmalaʼikati ʼinni jaɛilun fi al-ʼarḍi xalifatan qalu ʼatajɛalu fiha man yufsidu fiha wa yasfiku ad-dimaʼa wa naḥnu nusabbiḥu biḥamdika wa nuqaddisu laka qala ʼinni ʼaɛlamu ma la taɛlamun.
2,31,Wa ɛallama ʼadama al-ʼasmaʼa kullaha ṯumma ɛaraḍahum ɛala al-malaʼikati faqala ʼanbiʼuni biʼasmaʼi haʼuulaʼ ʼin kuntum ṣadiqin.
2,32,Qalu subḥanaka la ɛilma lana ʼilla ma ɛallamtana ʼinnaka ʼanta al-ɛalimu al-ḥakim.
2,33,Qala ya ʼadamu ʼanbiʼhum biʼasmaʼihim falamma ʼanbaʼahum biʼasmaʼihim qala ʼalam ʼaqul lakum ʼinni ʼaɛlamu ɣayba as-samawati wa al-ʼarḍi wa ʼaɛlamu ma tubduna wa ma kuntum taktumun.
2,34,Wa ʼiḏ qulna lilmalaʼikati asjudu liʼdama fasajadu ʼilla ʼiblisa ʼaba wa astakbara wa kana mina al-kafirin.
2,35,Wa qulna ya ʼadamu askun ʼanta wa zawjuka al-jannata wa kula minha raɣadan ḥayṯu ciʼtuma wa la taqraba haḏihi ac-cajarata fatakuna mina aḏ̣-ḏ̣alimin.
2,36,Faʼazallahuma ac-cayṭanu ɛanha faʼaxrajahuma mimma kana fihi wa qulna ahbiṭu baɛḍukum libaɛḍin ɛaduwun wa lakum fi al-ʼarḍi mustaqarrun wa mataɛun ʼila ḥinin.
2,37,Fatalaqqa ʼadamu min rabbihi kalimatin fataba ɛalayhi ʼinnahu huwa at-tawwabu ar-raḥim.
2,38,Qulna ahbiṭu minha jamiɛan faʼimma yaʼtiyannakum minni hudan faman tabiɛa hudaya fala xawfun ɛalayhim wa la hum yaḥzanun.
2,39,Wa al-laḏina kafaru wa kaḏḏabu biʼayatina ʼulaʼika ʼaṣḥabu an-nari hum fiha xalidun.
